item_id,item_category_id,type_code,subtype_code
0,40,11,4
1,76,15,31
2,40,11,4
3,40,11,4
4,40,11,4
5,40,11,4
6,40,11,4
7,40,11,4
8,40,11,4
9,40,11,4
10,40,11,4
11,40,11,4
12,55,13,2
13,40,11,4
14,40,11,4
15,40,11,4
16,40,11,4
17,40,11,4
18,40,11,4
19,40,11,4
20,40,11,4
21,40,11,4
22,40,11,4
23,40,11,4
24,40,11,4
25,40,11,4
26,40,11,4
27,19,5,10
28,30,8,55
29,23,5,16
30,40,11,4
31,37,11,1
32,40,11,4
33,37,11,1
34,40,11,4
35,40,11,4
36,37,11,1
37,40,11,4
38,41,11,35
39,41,11,35
40,57,13,8
41,57,13,8
42,57,13,8
43,40,11,4
44,57,13,8
45,57,13,8
46,57,13,8
47,57,13,8
48,57,13,8
49,57,13,8
50,57,13,8
51,57,13,8
52,57,13,8
53,57,13,8
54,57,13,8
55,43,12,21
56,57,13,8
57,57,13,8
58,78,15,45
59,57,13,8
60,43,12,21
61,43,12,21
62,37,11,1
63,40,11,4
64,40,11,4
65,37,11,1
66,37,11,1
67,40,11,4
68,30,8,55
69,54,12,61
70,49,12,39
71,37,11,1
72,40,11,4
73,40,11,4
74,37,11,1
75,40,11,4
76,37,11,1
77,40,11,4
78,40,11,4
79,40,11,4
80,37,11,1
81,40,11,4
82,37,11,1
83,40,11,4
84,40,11,4
85,37,11,1
86,40,11,4
87,37,11,1
88,40,11,4
89,40,11,4
90,40,11,4
91,37,11,1
92,37,11,1
93,43,12,21
94,40,11,4
95,40,11,4
96,40,11,4
97,40,11,4
98,40,11,4
99,37,11,1
100,40,11,4
101,78,15,45
102,76,15,31
103,76,15,31
104,76,15,31
105,30,8,55
106,30,8,55
107,44,12,22
108,44,12,22
109,57,13,8
110,44,12,22
111,57,13,8
112,44,12,22
113,57,13,8
114,44,12,22
115,57,13,8
116,57,13,8
117,44,12,22
118,44,12,22
119,44,12,22
120,44,12,22
121,44,12,22
122,44,12,22
123,44,12,22
124,44,12,22
125,44,12,22
126,44,12,22
127,44,12,22
128,44,12,22
129,44,12,22
130,44,12,22
131,44,12,22
132,44,12,22
133,45,12,23
134,45,12,23
135,45,12,23
136,45,12,23
137,44,12,22
138,45,12,23
139,45,12,23
140,45,12,23
141,44,12,22
142,45,12,23
143,45,12,23
144,44,12,22
145,44,12,22
146,44,12,22
147,44,12,22
148,44,12,22
149,45,12,23
150,44,12,22
151,45,12,23
152,45,12,23
153,45,12,23
154,45,12,23
155,45,12,23
156,45,12,23
157,44,12,22
158,44,12,22
159,44,12,22
160,44,12,22
161,44,12,22
162,45,12,23
163,44,12,22
164,44,12,22
165,45,12,23
166,45,12,23
167,44,12,22
168,44,12,22
169,44,12,22
170,45,12,23
171,45,12,23
172,45,12,23
173,45,12,23
174,44,12,22
175,45,12,23
176,45,12,23
177,45,12,23
178,45,12,23
179,45,12,23
180,44,12,22
181,44,12,22
182,44,12,22
183,44,12,22
184,44,12,22
185,44,12,22
186,44,12,22
187,44,12,22
188,44,12,22
189,44,12,22
190,44,12,22
191,44,12,22
192,44,12,22
193,44,12,22
194,44,12,22
195,44,12,22
196,44,12,22
197,45,12,23
198,45,12,23
199,45,12,23
200,45,12,23
201,44,12,22
202,45,12,23
203,44,12,22
204,44,12,22
205,45,12,23
206,44,12,22
207,45,12,23
208,44,12,22
209,44,12,22
210,45,12,23
211,44,12,22
212,44,12,22
213,45,12,23
214,44,12,22
215,45,12,23
216,44,12,22
217,44,12,22
218,45,12,23
219,45,12,23
220,44,12,22
221,44,12,22
222,44,12,22
223,44,12,22
224,45,12,23
225,45,12,23
226,45,12,23
227,44,12,22
228,45,12,23
229,44,12,22
230,45,12,23
231,44,12,22
232,45,12,23
233,45,12,23
234,45,12,23
235,45,12,23
236,45,12,23
237,45,12,23
238,45,12,23
239,44,12,22
240,44,12,22
241,44,12,22
242,44,12,22
243,45,12,23
244,45,12,23
245,44,12,22
246,45,12,23
247,45,12,23
248,45,12,23
249,45,12,23
250,44,12,22
251,44,12,22
252,45,12,23
253,45,12,23
254,44,12,22
255,44,12,22
256,44,12,22
257,45,12,23
258,45,12,23
259,45,12,23
260,44,12,22
261,44,12,22
262,44,12,22
263,45,12,23
264,45,12,23
265,45,12,23
266,44,12,22
267,45,12,23
268,44,12,22
269,45,12,23
270,45,12,23
271,44,12,22
272,45,12,23
273,45,12,23
274,44,12,22
275,44,12,22
276,45,12,23
277,45,12,23
278,45,12,23
279,44,12,22
280,45,12,23
281,45,12,23
282,45,12,23
283,45,12,23
284,45,12,23
285,45,12,23
286,44,12,22
287,44,12,22
288,44,12,22
289,44,12,22
290,45,12,23
291,44,12,22
292,45,12,23
293,45,12,23
294,45,12,23
295,45,12,23
296,44,12,22
297,45,12,23
298,45,12,23
299,44,12,22
300,44,12,22
301,44,12,22
302,45,12,23
303,45,12,23
304,44,12,22
305,44,12,22
306,45,12,23
307,44,12,22
308,45,12,23
309,44,12,22
310,45,12,23
311,45,12,23
312,45,12,23
313,45,12,23
314,45,12,23
315,45,12,23
316,45,12,23
317,45,12,23
318,45,12,23
319,45,12,23
320,45,12,23
